<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.01	23:00:00	0.89874	0.90107	0.89752	0.89877	3408	0	0
2019.01.02	00:00:00	0.89843	0.89952	0.89785	0.89865	3032	0	7
2019.01.02	01:00:00	0.89866	0.89913	0.89853	0.89856	1832	0	4
2019.01.02	02:00:00	0.89855	0.89875	0.89811	0.89852	2031	0	1
2019.01.02	03:00:00	0.89853	0.89939	0.89850	0.89920	2310	0	1
2019.01.02	04:00:00	0.89921	0.89940	0.89904	0.89907	1730	0	1
2019.01.02	05:00:00	0.89906	0.89912	0.89874	0.89876	1306	0	2
2019.01.02	06:00:00	0.89876	0.89981	0.89872	0.89974	2854	0	0
2019.01.02	07:00:00	0.89975	0.90047	0.89966	0.90039	3711	0	0
2019.01.02	08:00:00	0.90040	0.90068	0.89985	0.89997	5562	0	0
2019.01.02	09:00:00	0.89996	0.90131	0.89873	0.90059	11584	0	0
2019.01.02	10:00:00	0.90060	0.90111	0.89942	0.90107	8872	0	0
2019.01.02	11:00:00	0.90107	0.90278	0.90007	0.90242	6353	0	0
2019.01.02	12:00:00	0.90242	0.90313	0.90200	0.90282	6230	0	0
2019.01.02	13:00:00	0.90282	0.90288	0.90132	0.90145	6846	0	0
2019.01.02	14:00:00	0.90143	0.90236	0.90106	0.90182	10927	0	0
2019.01.02	15:00:00	0.90181	0.90233	0.90112	0.90115	10153	0	0
2019.01.02	16:00:00	0.90115	0.90131	0.89975	0.90107	12668	0	0
2019.01.02	17:00:00	0.90106	0.90237	0.90015	0.90140	10003	0	0
2019.01.02	18:00:00	0.90140	0.90169	0.89996	0.90055	9053	0	0
2019.01.02	19:00:00	0.90054	0.90059	0.89932	0.89955	5491	0	0
2019.01.02	20:00:00	0.89955	0.90041	0.89937	0.89940	5578	0	0
2019.01.02	21:00:00	0.89941	0.89978	0.89921	0.89958	5350	0	0
2019.01.02	22:00:00	0.89958	0.90033	0.89925	0.89943	3640	0	0
2019.01.02	23:00:00	0.89963	0.91004	0.89866	0.90720	4607	0	0
2019.01.03	00:00:00	0.90754	0.90956	0.90335	0.90378	10658	0	0
2019.01.03	01:00:00	0.90378	0.90436	0.90321	0.90365	4814	0	0
2019.01.03	02:00:00	0.90365	0.90506	0.90355	0.90439	4315	0	1
2019.01.03	03:00:00	0.90440	0.90552	0.90426	0.90525	3603	0	1
2019.01.03	04:00:00	0.90526	0.90587	0.90523	0.90555	2988	0	0
2019.01.03	05:00:00	0.90554	0.90592	0.90535	0.90582	1828	0	0
2019.01.03	06:00:00	0.90582	0.90600	0.90502	0.90549	3360	0	1
2019.01.03	07:00:00	0.90548	0.90592	0.90518	0.90585	3358	0	0
2019.01.03	08:00:00	0.90584	0.90638	0.90473	0.90573	7849	0	0
2019.01.03	09:00:00	0.90573	0.90638	0.90440	0.90548	11025	0	0
2019.01.03	10:00:00	0.90546	0.90583	0.90405	0.90417	8949	0	0
