<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.03	23:00:00	1.08099	1.08175	1.08012	1.08132	184	0	0
2021.01.04	00:00:00	1.08132	1.08200	1.08089	1.08184	3049	0	0
2021.01.04	01:00:00	1.08184	1.08219	1.08163	1.08168	3319	0	0
2021.01.04	02:00:00	1.08169	1.08276	1.08163	1.08259	2621	0	0
2021.01.04	03:00:00	1.08259	1.08298	1.08241	1.08263	2023	0	0
2021.01.04	04:00:00	1.08263	1.08318	1.08260	1.08294	1670	0	0
2021.01.04	05:00:00	1.08294	1.08317	1.08278	1.08290	835	0	0
2021.01.04	06:00:00	1.08289	1.08299	1.08262	1.08288	1034	0	0
2021.01.04	07:00:00	1.08287	1.08309	1.08206	1.08233	1538	0	0
2021.01.04	08:00:00	1.08234	1.08314	1.08226	1.08278	2871	0	0
2021.01.04	09:00:00	1.08278	1.08280	1.08056	1.08131	4360	0	0
2021.01.04	10:00:00	1.08135	1.08181	1.08088	1.08150	3002	0	0
2021.01.04	11:00:00	1.08150	1.08196	1.08098	1.08128	1970	0	0
2021.01.04	12:00:00	1.08129	1.08193	1.08074	1.08159	2431	0	0
2021.01.04	13:00:00	1.08159	1.08178	1.08056	1.08087	3401	0	0
2021.01.04	14:00:00	1.08087	1.08178	1.08034	1.08168	4015	0	0
2021.01.04	15:00:00	1.08168	1.08260	1.08124	1.08226	4449	0	0
2021.01.04	16:00:00	1.08228	1.08266	1.07920	1.07948	7049	0	0
2021.01.04	17:00:00	1.07947	1.08032	1.07903	1.07975	6263	0	0
2021.01.04	18:00:00	1.07976	1.08040	1.07946	1.07993	4239	0	0
2021.01.04	19:00:00	1.07992	1.08019	1.07912	1.07942	2370	0	0
2021.01.04	20:00:00	1.07942	1.07952	1.07891	1.07896	2150	0	0
2021.01.04	21:00:00	1.07896	1.07944	1.07896	1.07924	2023	0	0
2021.01.04	22:00:00	1.07924	1.07949	1.07896	1.07949	2310	0	0
2021.01.04	23:00:00	1.07869	1.08043	1.07869	1.08016	364	0	0
2021.01.05	00:00:00	1.08016	1.08016	1.07897	1.07974	1369	0	0
2021.01.05	01:00:00	1.07974	1.08025	1.07967	1.08010	2190	0	0
2021.01.05	02:00:00	1.08012	1.08063	1.08004	1.08030	1597	0	0
2021.01.05	03:00:00	1.08031	1.08064	1.08031	1.08038	2054	0	0
2021.01.05	04:00:00	1.08037	1.08041	1.07989	1.08001	1889	0	0
2021.01.05	05:00:00	1.08001	1.08025	1.07972	1.08013	2503	0	0
2021.01.05	06:00:00	1.08012	1.08038	1.08006	1.08036	1748	0	0
2021.01.05	07:00:00	1.08034	1.08042	1.07997	1.08029	1555	0	0
2021.01.05	08:00:00	1.08033	1.08036	1.07980	1.07986	1638	0	0
2021.01.05	09:00:00	1.07987	1.08032	1.07899	1.07946	3600	0	0
2021.01.05	10:00:00	1.07947	1.08045	1.07921	1.08003	2502	0	0
2021.01.05	11:00:00	1.08004	1.08201	1.07972	1.08110	2616	0	0
2021.01.05	12:00:00	1.08111	1.08158	1.08023	1.08035	2132	0	0
2021.01.05	13:00:00	1.08035	1.08037	1.07947	1.07989	2777	0	0
2021.01.05	14:00:00	1.07989	1.08053	1.07915	1.07961	2838	0	0
2021.01.05	15:00:00	1.07960	1.08017	1.07926	1.07932	3908	0	0
2021.01.05	16:00:00	1.07959	1.07997	1.07925	1.07964	6746	0	0
2021.01.05	17:00:00	1.07965	1.08020	1.07921	1.07996	4816	0	0
2021.01.05	18:00:00	1.07998	1.08047	1.07971	1.07984	2864	0	0
2021.01.05	19:00:00	1.07984	1.07999	1.07944	1.07963	3041	0	0
2021.01.05	20:00:00	1.07965	1.08011	1.07956	1.08000	2765	0	0
2021.01.05	21:00:00	1.08001	1.08036	1.07980	1.08024	1637	0	0
2021.01.05	22:00:00	1.08023	1.08047	1.07979	1.08013	1425	0	0
2021.01.05	23:00:00	1.07996	1.08048	1.07938	1.07987	884	0	0
2021.01.06	00:00:00	1.07987	1.08026	1.07972	1.08003	1678	0	0
2021.01.06	01:00:00	1.08005	1.08109	1.07978	1.08049	3721	0	0
2021.01.06	02:00:00	1.08050	1.08062	1.07996	1.08025	5258	0	0
2021.01.06	03:00:00	1.08026	1.08064	1.07999	1.08007	3265	0	0
2021.01.06	04:00:00	1.08007	1.08038	1.07981	1.07992	3175	0	0
2021.01.06	05:00:00	1.07992	1.08035	1.07980	1.08005	3826	0	0
2021.01.06	06:00:00	1.08005	1.08056	1.07981	1.08020	2931	0	0
2021.01.06	07:00:00	1.08021	1.08104	1.08002	1.08083	1887	0	0
2021.01.06	08:00:00	1.08085	1.08182	1.08068	1.08116	3849	0	0
2021.01.06	09:00:00	1.08115	1.08162	1.08062	1.08099	4320	0	0
2021.01.06	10:00:00	1.08100	1.08189	1.08089	1.08180	2428	0	0
2021.01.06	11:00:00	1.08180	1.08182	1.08083	1.08128	3018	0	0
2021.01.06	12:00:00	1.08128	1.08187	1.08089	1.08099	2321	0	0
2021.01.06	13:00:00	1.08099	1.08223	1.08087	1.08192	3236	0	0
2021.01.06	14:00:00	1.08189	1.08325	1.08165	1.08311	4395	0	0
2021.01.06	15:00:00	1.08311	1.08318	1.08204	1.08261	6468	0	0
2021.01.06	16:00:00	1.08259	1.08324	1.08151	1.08223	6420	0	0
2021.01.06	17:00:00	1.08223	1.08326	1.08179	1.08281	6356	0	0
2021.01.06	18:00:00	1.08281	1.08368	1.08261	1.08338	3392	0	0
2021.01.06	19:00:00	1.08338	1.08381	1.08284	1.08327	3504	0	0
2021.01.06	20:00:00	1.08330	1.08354	1.08214	1.08270	3668	0	0
2021.01.06	21:00:00	1.08270	1.08355	1.08248	1.08285	3485	0	0
2021.01.06	22:00:00	1.08286	1.08321	1.08271	1.08283	3188	0	0
2021.01.06	23:00:00	1.08226	1.08381	1.08204	1.08275	1610	0	0
2021.01.07	00:00:00	1.08292	1.08367	1.08264	1.08340	2723	0	0
2021.01.07	01:00:00	1.08340	1.08352	1.08292	1.08322	2526	0	0
2021.01.07	02:00:00	1.08323	1.08352	1.08301	1.08339	2210	0	0
2021.01.07	03:00:00	1.08336	1.08363	1.08304	1.08311	3321	0	0
2021.01.07	04:00:00	1.08310	1.08330	1.08291	1.08300	1676	0	0
2021.01.07	05:00:00	1.08300	1.08335	1.08289	1.08290	850	0	0
2021.01.07	06:00:00	1.08291	1.08300	1.08256	1.08274	2322	0	0
2021.01.07	07:00:00	1.08275	1.08305	1.08258	1.08285	1535	0	0
2021.01.07	08:00:00	1.08285	1.08390	1.08280	1.08327	2334	0	0
2021.01.07	09:00:00	1.08327	1.08405	1.08300	1.08378	3099	0	0
2021.01.07	10:00:00	1.08379	1.08422	1.08267	1.08353	5047	0	0
2021.01.07	11:00:00	1.08353	1.08367	1.08249	1.08321	3955	0	0
2021.01.07	12:00:00	1.08322	1.08369	1.08269	1.08318	2173	0	0
2021.01.07	13:00:00	1.08316	1.08397	1.08293	1.08372	2584	0	0
2021.01.07	14:00:00	1.08371	1.08389	1.08275	1.08288	2772	0	0
2021.01.07	15:00:00	1.08288	1.08515	1.08275	1.08484	6131	0	0
2021.01.07	16:00:00	1.08482	1.08629	1.08414	1.08548	7954	0	0
2021.01.07	17:00:00	1.08548	1.08580	1.08440	1.08448	4530	0	0
2021.01.07	18:00:00	1.08448	1.08551	1.08431	1.08518	3189	0	0
2021.01.07	19:00:00	1.08519	1.08618	1.08516	1.08579	1850	0	0
2021.01.07	20:00:00	1.08579	1.08585	1.08546	1.08578	1766	0	0
2021.01.07	21:00:00	1.08578	1.08600	1.08543	1.08580	2026	0	0
2021.01.07	22:00:00	1.08568	1.08681	1.08567	1.08623	2425	0	0
2021.01.07	23:00:00	1.08457	1.08644	1.08428	1.08554	762	0	0
2021.01.08	00:00:00	1.08554	1.08643	1.08534	1.08614	1773	0	0
2021.01.08	01:00:00	1.08615	1.08633	1.08563	1.08588	2416	0	0
2021.01.08	02:00:00	1.08588	1.08613	1.08521	1.08563	3806	0	0
2021.01.08	03:00:00	1.08562	1.08604	1.08537	1.08555	1748	0	0
2021.01.08	04:00:00	1.08556	1.08604	1.08547	1.08576	1535	0	0
2021.01.08	05:00:00	1.08575	1.08600	1.08560	1.08590	660	0	0
2021.01.08	06:00:00	1.08590	1.08615	1.08558	1.08562	1565	0	0
2021.01.08	07:00:00	1.08560	1.08629	1.08557	1.08586	2515	0	0
2021.01.08	08:00:00	1.08586	1.08621	1.08488	1.08510	2651	0	0
2021.01.08	09:00:00	1.08512	1.08601	1.08443	1.08460	4729	0	0
2021.01.08	10:00:00	1.08461	1.08492	1.08385	1.08423	3231	0	0
2021.01.08	11:00:00	1.08424	1.08475	1.08382	1.08432	2058	0	0
2021.01.08	12:00:00	1.08432	1.08433	1.08301	1.08301	2191	0	0
2021.01.08	13:00:00	1.08300	1.08342	1.08260	1.08269	2407	0	0
2021.01.08	14:00:00	1.08268	1.08383	1.08168	1.08327	7298	0	0
2021.01.08	15:00:00	1.08326	1.08421	1.08301	1.08381	6293	0	0
2021.01.08	16:00:00	1.08380	1.08417	1.08229	1.08238	6405	0	0
2021.01.08	17:00:00	1.08241	1.08367	1.08209	1.08355	5988	0	0
2021.01.08	18:00:00	1.08355	1.08408	1.08305	1.08341	3419	0	0
2021.01.08	19:00:00	1.08343	1.08360	1.08207	1.08231	3786	0	0
2021.01.08	20:00:00	1.08231	1.08291	1.08225	1.08271	2806	0	0
2021.01.08	21:00:00	1.08261	1.08283	1.08217	1.08229	2082	0	0
2021.01.10	23:00:00	1.08214	1.08305	1.08201	1.08218	176	0	0
2021.01.11	00:00:00	1.08216	1.08249	1.08158	1.08169	1945	0	0
2021.01.11	01:00:00	1.08168	1.08206	1.08151	1.08172	2200	0	0
2021.01.11	02:00:00	1.08172	1.08220	1.08158	1.08208	4704	0	0
2021.01.11	03:00:00	1.08208	1.08213	1.08158	1.08198	3621	0	0
2021.01.11	04:00:00	1.08198	1.08210	1.08166	1.08177	1344	0	0
2021.01.11	05:00:00	1.08177	1.08193	1.08158	1.08172	1427	0	0
2021.01.11	06:00:00	1.08172	1.08201	1.08159	1.08195	1943	0	0
2021.01.11	07:00:00	1.08198	1.08213	1.08160	1.08174	2108	0	0
2021.01.11	08:00:00	1.08173	1.08259	1.08162	1.08202	2284	0	0
2021.01.11	09:00:00	1.08213	1.08245	1.08159	1.08160	3122	0	0
2021.01.11	10:00:00	1.08160	1.08286	1.08150	1.08184	2531	0	0
2021.01.11	11:00:00	1.08184	1.08345	1.08169	1.08289	2736	0	0
2021.01.11	12:00:00	1.08289	1.08328	1.08249	1.08284	2792	0	0
2021.01.11	13:00:00	1.08283	1.08405	1.08263	1.08397	3464	0	0
2021.01.11	14:00:00	1.08397	1.08399	1.08231	1.08278	3460	0	0
2021.01.11	15:00:00	1.08278	1.08295	1.08167	1.08218	5353	0	0
2021.01.11	16:00:00	1.08216	1.08339	1.08176	1.08306	5094	0	0
2021.01.11	17:00:00	1.08306	1.08344	1.08256	1.08268	3835	0	0
2021.01.11	18:00:00	1.08267	1.08277	1.08132	1.08186	2403	0	0
2021.01.11	19:00:00	1.08186	1.08200	1.08134	1.08146	1790	0	0
2021.01.11	20:00:00	1.08146	1.08197	1.08143	1.08184	1518	0	0
2021.01.11	21:00:00	1.08187	1.08199	1.08149	1.08167	1950	0	0
2021.01.11	22:00:00	1.08167	1.08205	1.08159	1.08171	1720	0	0
2021.01.11	23:00:00	1.08165	1.08296	1.08091	1.08172	1096	0	0
2021.01.12	00:00:00	1.08171	1.08225	1.08153	1.08186	1700	0	0
2021.01.12	01:00:00	1.08182	1.08236	1.08174	1.08226	1704	0	0
2021.01.12	02:00:00	1.08224	1.08245	1.08185	1.08217	3226	0	0
2021.01.12	03:00:00	1.08216	1.08228	1.08175	1.08199	2394	0	0
2021.01.12	04:00:00	1.08199	1.08265	1.08199	1.08256	1395	0	0
2021.01.12	05:00:00	1.08256	1.08263	1.08215	1.08235	1269	0	0
2021.01.12	06:00:00	1.08234	1.08260	1.08221	1.08242	1815	0	0
2021.01.12	07:00:00	1.08242	1.08286	1.08217	1.08272	1133	0	0
2021.01.12	08:00:00	1.08274	1.08311	1.08221	1.08239	2402	0	0
2021.01.12	09:00:00	1.08241	1.08273	1.08188	1.08209	2859	0	0
2021.01.12	10:00:00	1.08208	1.08316	1.08203	1.08226	3356	0	0
2021.01.12	11:00:00	1.08226	1.08286	1.08108	1.08116	2781	0	0
2021.01.12	12:00:00	1.08117	1.08141	1.08074	1.08118	2212	0	0
2021.01.12	13:00:00	1.08119	1.08229	1.08115	1.08151	2259	0	0
2021.01.12	14:00:00	1.08151	1.08152	1.08058	1.08118	2913	0	0
2021.01.12	15:00:00	1.08121	1.08181	1.08102	1.08136	3848	0	0
2021.01.12	16:00:00	1.08135	1.08180	1.08101	1.08134	3202	0	0
2021.01.12	17:00:00	1.08134	1.08258	1.08133	1.08218	3067	0	0
2021.01.12	18:00:00	1.08212	1.08268	1.08177	1.08228	2985	0	0
2021.01.12	19:00:00	1.08228	1.08243	1.08154	1.08180	2767	0	0
2021.01.12	20:00:00	1.08181	1.08233	1.08151	1.08203	2200	0	0
2021.01.12	21:00:00	1.08203	1.08214	1.08166	1.08172	1460	0	0
2021.01.12	22:00:00	1.08169	1.08220	1.08156	1.08210	1717	0	0
2021.01.12	23:00:00	1.08201	1.08282	1.08153	1.08208	1596	0	0
2021.01.13	00:00:00	1.08201	1.08249	1.08169	1.08180	1607	0	0
2021.01.13	01:00:00	1.08177	1.08221	1.08171	1.08185	1869	0	0
2021.01.13	02:00:00	1.08186	1.08224	1.08171	1.08223	2745	0	0
2021.01.13	03:00:00	1.08222	1.08233	1.08177	1.08181	1836	0	0
2021.01.13	04:00:00	1.08182	1.08228	1.08180	1.08198	1229	0	0
