,Portfolio,AUDNZD,EURCHF,EURGBP
Total Return (%),1.0018425417567922,1.0561000000000043,1.5551000000000093,0.39649999999999963
Annualized Return (%),1.3725040814665634,1.4469790541801641,2.1326057658582753,0.5425957281735894
Volatility (%),0.24111901226173504,0.3649231546155757,0.5091706623798185,0.3543236875753819
Sharpe Ratio,5.654727354295147,3.9385751764243753,4.146905983801947,1.5289886679343117
Sortino Ratio,207.0512366339938,71.38120467679472,64.67682753954514,43.79575446378967
Max Drawdown (%),-0.10550832108506825,-0.18717242339555407,-0.2226113651778383,-0.26902755333829687
Calmar Ratio,13.008491343161019,7.730727785269112,9.579950080961021,2.016877905034827
Win Rate (%),15.75085857009054,3.8401498595067127,3.699656571963784,10.443334374024351
Best Period (%),0.03514997859812574,0.0569431862300851,0.09381469014817512,0.030508991677824504
Worst Period (%),-0.041179398967694514,-0.10004813449014938,-0.12347602887592402,-0.10013581294389118
